attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,16159.0,5843.0,1977.0,1386.0,782.0,479.0,336.10582805928703,228.76807840043577
0.0,0.0,4.0,1.0,3.0,1.0,4.0,3.0,1.9748759052871867,1.8035044290044806
0.0,0.0,2023400.0,534265.0,99633.0,220773.0,74360.0,163448.0,68836.64044187068,45929.24009655644
0.0,0.0,405012.0,103508.0,23983.0,24325.0,11788.0,46830.0,21751.06335687355,17562.697348061287
0.0,0.0,821072.0,53174.0,59765.0,19374.0,39953.0,48661.0,24712.109854414208,19175.56937404964
0.0,0.0,105247.0,78694.0,3046.0,6213.0,3714.0,2451.0,1382.332001333671,877.5013610068921
0.0,0.0,58695.0,11454.0,4568.0,1527.0,2086.0,1785.0,1109.8712389270834,479.6206070715295
0.0,0.0,179566.0,101846.0,1684.0,7260.0,5434.0,3499.0,1611.2077898874506,1001.0107663034681
51.0,51.0,1582294.0,143181.0,63653.0,228104.0,101686.0,73562.0,35963.312911598376,26756.511559645118
50.0,61.0,550896.0,28510.0,14744.0,9760.0,6092.0,2517.0,1704.7021730438337,856.2335147177067
60.0,74.0,1632455.0,68712.0,19203.0,54756.0,19165.0,18006.0,11265.045987685513,7529.458934272414
60.0,74.0,849619.0,194907.0,31021.0,28679.0,78666.0,13831.0,18206.417734809664,9112.953924050722
50.0,66.0,1100616.0,133186.0,73001.0,27446.0,52295.0,16885.0,14181.50546647798,10147.280730260278
53.0,70.0,471865.0,7118.0,8850.0,922.0,1540.0,1089.0,596.5614121499473,448.9707601562353
40.0,61.0,2928815.0,749816.0,134010.0,78911.0,23045.0,43819.0,13319.723571063187,8779.867283692765
41.0,66.0,706949.0,69227.0,15635.0,14377.0,8640.0,6601.0,3373.603705480459,3236.361950393917
29.0,56.0,668075.0,876087.0,87058.0,74867.0,24424.0,26902.0,12558.223245959789,6931.140475599092
34.0,51.0,627271.0,244203.0,127209.0,21354.0,12357.0,29310.0,9797.517648549354,5183.689145045078
35.0,50.0,1099135.0,76323.0,9732.0,7229.0,4956.0,4125.0,2298.5241441280646,978.3580276926713
34.0,43.0,104368.0,119837.0,14869.0,4250.0,2656.0,7987.0,1703.7627429591882,1239.5905975603716
43.0,54.0,908296.0,46042.0,38173.0,12410.0,19897.0,6017.0,6322.72491999748,4577.599474275011
63.0,54.0,53233.0,5694.0,17434.0,2435.0,7540.0,22161.0,5859.705791731484,3854.7809845581555
61.0,56.0,117853.0,35894.0,4237.0,7004.0,7521.0,2611.0,1882.6739401354678,1128.1392876005245
51.0,56.0,243000.0,255190.0,41788.0,4074.0,7349.0,9536.0,3725.9905430942354,3159.6292186560618
51.0,50.0,113718.0,26266.0,8904.0,2874.0,3513.0,3506.0,1910.4428562731973,865.7637535722648
27.0,37.0,2159721.0,448656.0,33716.0,28114.0,24319.0,40840.0,15349.224157191758,9916.956916284063
29.0,43.0,371175.0,29522.0,13488.0,2227.0,3698.0,3192.0,1524.8691971621088,1197.9901244217783
40.0,53.0,1640696.0,26315.0,10581.0,7159.0,1544.0,3548.0,1574.7115723169968,1307.6077619116418
34.0,64.0,1775767.0,314461.0,163813.0,321386.0,35325.0,39520.0,15989.136430438844,10500.230060422062
23.0,78.0,921668.0,103154.0,29791.0,33202.0,7901.0,5090.0,3261.595260108573,2728.5733528462033
29.0,63.0,742601.0,151923.0,3835.0,11302.0,18220.0,18578.0,8505.048655498567,5732.46865066918
21.0,53.0,109664.0,89097.0,12378.0,2381.0,4458.0,3707.0,1671.185491887618,889.958202556445
14.0,21.0,710228.0,688991.0,13581.0,12798.0,17055.0,15402.0,9010.482359271185,8018.190410822308
26.0,21.0,2091212.0,139515.0,48593.0,58626.0,36812.0,26418.0,15122.668549495625,12710.521339713965
13.0,35.0,1432156.0,94493.0,19923.0,16897.0,7163.0,4013.0,2779.518007005713,1694.625528459992
11.0,27.0,2143167.0,1114289.0,78873.0,21035.0,36741.0,40442.0,19951.59701120855,18262.197914614448
21.0,48.0,177144.0,51740.0,13582.0,7995.0,1810.0,5338.0,1426.492744206276,1311.018316064582
17.0,44.0,1851063.0,220721.0,76566.0,9582.0,8442.0,19537.0,3572.5717689233747,2911.8830339977308
24.0,44.0,364956.0,121952.0,47892.0,12303.0,31301.0,12063.0,10008.092003774756,6586.715372384904
38.0,56.0,826345.0,198711.0,18641.0,86446.0,44392.0,35034.0,19655.466948790432,8289.503548839944
26.0,51.0,1332383.0,1038182.0,154240.0,58562.0,69140.0,27293.0,21290.458852683718,15967.753868215168
11.0,40.0,206769.0,978124.0,73784.0,14554.0,21532.0,16063.0,11148.233978971963,6994.872113209724
7.0,34.0,365831.0,132652.0,17694.0,12842.0,21681.0,5804.0,5152.805090597174,3244.9996886384674
7.0,29.0,912745.0,47304.0,4753.0,9538.0,7112.0,7135.0,4048.199210178197,3020.058444670473
